buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
7950.0,159.0,100.0,0.0,28.7896148545842,15900,7950.0,699.2753071784973
8000.0,160.0,100.0,12.0,28.721775060568834,16000,8000.0,702.756986618042
8050.0,161.0,100.0,0.0,5.125105085143405,16100,8050.0,722.2687821388245
8100.0,162.0,100.0,9.0,27.11032157465812,16200,8100.0,725.9574148654938
8150.0,163.0,100.0,12.0,29.15490140115502,16300,8150.0,729.3873705863953
8200.0,164.0,100.0,0.0,31.714834585930614,16400,8200.0,732.540470123291
8250.0,165.0,100.0,0.0,28.150760626209024,16500,8250.0,736.0927722454071
8300.0,166.0,100.0,0.0,28.825795471406767,16600,8300.0,739.561888217926
8350.0,167.0,100.0,14.0,31.222379985299597,16700,8350.0,742.7647197246552
8400.0,168.0,100.0,13.0,27.820778718394795,16800,8400.0,746.3591556549072
8450.0,169.0,100.0,0.0,29.54254910476505,16900,8450.0,749.744104385376
8500.0,170.0,100.0,14.0,31.127329528811362,17000,8500.0,752.9567158222198
8550.0,171.0,100.0,13.0,24.02084771411009,17100,8550.0,757.1197669506073
8600.0,172.0,100.0,0.0,29.93673770880503,17200,8600.0,760.4601452350616
8650.0,173.0,100.0,11.0,30.864499508882357,17300,8650.0,763.7001142501831
8700.0,174.0,100.0,0.0,28.156271150076815,17400,8700.0,767.2517220973969
8750.0,175.0,100.0,0.0,31.823430848311418,17500,8750.0,770.394061088562
8800.0,176.0,100.0,0.0,27.51855054802495,17600,8800.0,774.027973651886
8850.0,177.0,100.0,7.0,30.026578110192276,17700,8850.0,777.3583569526672
8900.0,178.0,100.0,14.0,31.365684360246988,17800,8900.0,780.5465552806854
8950.0,179.0,100.0,15.0,28.14401336213647,17900,8950.0,784.0997095108032
9000.0,180.0,100.0,15.0,29.15901390722975,18000,9000.0,787.5291812419891
9050.0,181.0,100.0,9.0,4.877707898363703,18100,9050.0,808.0306146144867
9100.0,182.0,100.0,0.0,30.910081910938842,18200,9100.0,811.2658054828644
9150.0,183.0,100.0,18.0,24.04232058873163,18300,9150.0,815.4251384735107
9200.0,184.0,100.0,14.0,27.65343096910998,18400,9200.0,819.0413267612457
9250.0,185.0,100.0,0.0,31.46660512842981,18500,9250.0,822.2192997932434
9300.0,186.0,100.0,7.0,26.787840606912013,18600,9300.0,825.9523375034332
9350.0,187.0,100.0,11.0,30.95711517721627,18700,9350.0,829.1826136112213
9400.0,188.0,100.0,16.0,29.38473771783869,18800,9400.0,832.5857410430908
9450.0,189.0,100.0,4.0,28.399707817031928,18900,9450.0,836.1069042682648
9500.0,190.0,100.0,9.0,30.81528362553078,19000,9500.0,839.3520483970642
9550.0,191.0,100.0,12.0,28.29295044606735,19100,9550.0,842.8864984512329
9600.0,192.0,100.0,0.0,28.203645416708582,19200,9600.0,846.4321401119232
9650.0,193.0,100.0,12.0,31.490201431086128,19300,9650.0,849.6077318191528
9700.0,194.0,100.0,0.0,28.858365577616393,19400,9700.0,853.07293176651
9750.0,195.0,100.0,0.0,28.10311743095821,19500,9750.0,856.6312563419342
9800.0,196.0,100.0,0.0,30.44598907159675,19600,9800.0,859.9157617092133
9850.0,197.0,100.0,0.0,29.260565706521334,19700,9850.0,863.3333311080933
9900.0,198.0,100.0,0.0,27.324034150091624,19800,9900.0,866.9931132793427
9950.0,199.0,100.0,0.0,32.79687662496589,19900,9950.0,870.0421845912933
10000.0,200.0,100.0,15.0,27.730028009000698,20000,10000.0,873.6483845710754
10050.0,201.0,100.0,0.0,4.939654550971132,20100,10050.0,893.8927156925201
10100.0,202.0,100.0,13.0,29.810241783765612,20200,10100.0,897.2472681999207
10150.0,203.0,100.0,15.0,28.368866471999375,20300,10150.0,900.7722594738007
10200.0,204.0,100.0,0.0,28.81446614937205,20400,10200.0,904.2427389621735
10250.0,205.0,100.0,0.0,29.154577152336707,20500,10250.0,907.6727330684662
10300.0,206.0,100.0,2.0,28.213611199547863,20600,10300.0,911.2171220779419
10350.0,207.0,100.0,13.0,28.118508038467944,20700,10350.0,914.773499250412
10400.0,208.0,100.0,7.0,29.393087939160576,20800,10400.0,918.1756601333618
10450.0,209.0,100.0,13.0,28.136312364221443,20900,10450.0,921.7297866344452
10500.0,210.0,100.0,18.0,31.25631517734363,21000,10500.0,924.9291408061981
10550.0,211.0,100.0,11.0,27.529035317047967,21100,10550.0,928.5616698265076
10600.0,212.0,100.0,7.0,27.63510885592287,21200,10600.0,932.180255651474
10650.0,213.0,100.0,9.0,29.96597315303422,21300,10650.0,935.5173745155334
10700.0,214.0,100.0,18.0,27.239100928036574,21400,10700.0,939.1885681152344
10750.0,215.0,100.0,14.0,27.774333277245695,21500,10750.0,942.7890150547028
10800.0,216.0,100.0,17.0,30.593895041952685,21600,10800.0,946.0576412677765
10850.0,217.0,100.0,10.0,27.21062873664901,21700,10850.0,949.7326765060425
10900.0,218.0,100.0,0.0,28.749029430730964,21800,10900.0,953.2110550403595
10950.0,219.0,100.0,13.0,30.014251084574443,21900,10950.0,956.5428066253662
11000.0,220.0,100.0,2.0,26.408906548398935,22000,11000.0,960.3294084072113
11050.0,221.0,100.0,0.0,4.893154960702204,22100,11050.0,980.7661211490631
11100.0,222.0,100.0,18.0,27.166504482601745,22200,11100.0,984.4471249580383
11150.0,223.0,100.0,18.0,31.439581873373932,22300,11150.0,987.6278293132782
11200.0,224.0,100.0,17.0,26.03159798408141,22400,11200.0,991.469315290451
11250.0,225.0,100.0,11.0,27.19137594078648,22500,11250.0,995.1469523906708
11300.0,226.0,100.0,9.0,30.377748239156222,22600,11300.0,998.4388363361359
11350.0,227.0,100.0,15.0,27.97619940928741,22700,11350.0,1002.0133035182953
11400.0,228.0,100.0,0.0,30.245065342345143,22800,11400.0,1005.3196287155151
11450.0,229.0,100.0,0.0,30.507803183506557,22900,11450.0,1008.5974793434143
11500.0,230.0,100.0,0.0,29.02170187143889,23000,11500.0,1012.0431771278381
11550.0,231.0,100.0,11.0,30.884239914714428,23100,11550.0,1015.2810750007629
11600.0,232.0,100.0,0.0,26.752607281246156,23200,11600.0,1019.0190289020538
11650.0,233.0,100.0,0.0,29.919408206468614,23300,11650.0,1022.3613414764404
11700.0,234.0,100.0,16.0,29.45818014176547,23400,11700.0,1025.7559847831726
11750.0,235.0,100.0,16.0,24.896089804620818,23500,11750.0,1029.77268075943
11800.0,236.0,100.0,8.0,28.195047455870455,23600,11800.0,1033.3194029331207
11850.0,237.0,100.0,0.0,31.936461859443,23700,11850.0,1036.4506211280823
11900.0,238.0,100.0,0.0,27.358109173773236,23800,11900.0,1040.1058449745178
11950.0,239.0,100.0,0.0,28.937587995731565,23900,11950.0,1043.5615584850311
12000.0,240.0,100.0,22.0,31.359376028040458,24000,12000.0,1046.7503979206085
12050.0,241.0,100.0,0.0,4.890689640219068,24100,12050.0,1067.1974124908447
12100.0,242.0,100.0,0.0,27.69772939325039,24200,12100.0,1070.8078172206879
12150.0,243.0,100.0,0.0,31.16453593172534,24300,12150.0,1074.0165932178497
12200.0,244.0,100.0,0.0,30.06096544035083,24400,12200.0,1077.343167066574
12250.0,245.0,100.0,16.0,27.242918945784545,24500,12250.0,1081.0138461589813
12300.0,246.0,100.0,0.0,30.647224066191452,24600,12300.0,1084.2767848968506
12350.0,247.0,100.0,1.0,29.17343812566803,24700,12350.0,1087.7045612335205
12400.0,248.0,100.0,0.0,27.463467690498284,24800,12400.0,1091.3457624912262
12450.0,249.0,100.0,0.0,31.676985234187278,24900,12450.0,1094.5026290416718
12500.0,250.0,100.0,11.0,28.889407461550395,25000,12500.0,1097.9641063213348
12550.0,251.0,100.0,0.0,28.593917940449064,25100,12550.0,1101.4613542556763
12600.0,252.0,100.0,0.0,30.942754593788113,25200,12600.0,1104.6931293010712
12650.0,253.0,100.0,0.0,28.53043859479068,25300,12650.0,1108.198157787323
12700.0,254.0,100.0,4.0,28.22838975237003,25400,12700.0,1111.7406914234161
12750.0,255.0,100.0,21.0,31.01875774072313,25500,12750.0,1114.9645476341248
12800.0,256.0,100.0,14.0,26.210959811524738,25600,12800.0,1118.779746055603
12850.0,257.0,100.0,0.0,27.310896655152515,25700,12850.0,1122.4412887096405
12900.0,258.0,100.0,0.0,31.438389457734583,25800,12900.0,1125.6221137046814
12950.0,259.0,100.0,0.0,29.50738756839885,25900,12950.0,1129.0110960006714
13000.0,260.0,100.0,7.0,27.68046649754692,26000,13000.0,1132.623752117157
13050.0,261.0,100.0,0.0,4.893953360294409,26100,13050.0,1153.0571310520172
13100.0,262.0,100.0,0.0,28.059890210423887,26200,13100.0,1156.6209375858307
13150.0,263.0,100.0,18.0,29.562703171585945,26300,13150.0,1160.0035791397095
13200.0,264.0,100.0,10.0,29.915767612273534,26400,13200.0,1163.3462986946106
13250.0,265.0,100.0,18.0,28.26178243589474,26500,13250.0,1166.8846464157104
13300.0,266.0,100.0,12.0,28.82969873361289,26600,13300.0,1170.35329246521
13350.0,267.0,100.0,19.0,29.517041478008338,26700,13350.0,1173.7411661148071
13400.0,268.0,100.0,10.0,27.047622290371617,26800,13400.0,1177.4383494853973
13450.0,269.0,100.0,16.0,28.58929290661351,26900,13450.0,1180.936163187027
13500.0,270.0,100.0,20.0,29.489674370127506,27000,13500.0,1184.3271808624268
13550.0,271.0,100.0,14.0,28.611681601668717,27100,13550.0,1187.822257757187
13600.0,272.0,100.0,22.0,28.88135882659564,27200,13600.0,1191.2846994400024
13650.0,273.0,100.0,0.0,29.87406224750626,27300,13650.0,1194.6320853233337
13700.0,274.0,100.0,14.0,28.21172867718846,27400,13700.0,1198.1767110824585
13750.0,275.0,100.0,23.0,29.158452397653534,27500,13750.0,1201.6062488555908
13800.0,276.0,100.0,21.0,27.23131959097549,27600,13800.0,1205.2784917354584
13850.0,277.0,100.0,15.0,28.426067050700254,27700,13850.0,1208.79639005661
13900.0,278.0,100.0,20.0,26.986017957976923,27800,13900.0,1212.5020134449005
